Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777046160,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777046161,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777046162,8,,Aggregated,0.000000,0.000000,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,8,0,310,734.2274832501516,206.870007001271,1220.3664970002137,136707.25
1777046163,12,,Aggregated,0.000000,0.000000,220,310,1200,1200,1200,1200,1200,1200,1200,1200,1200,13,0,220,523.3795694617024,163.82552100003522,1220.3664970002137,193747.46153846153
1777046164,16,,Aggregated,4.000000,0.000000,220,300,400,1200,1200,1200,1200,1200,1200,1200,1200,20,0,220,423.71347180005614,161.52311800033203,1220.3664970002137,179074.45
1777046165,20,,Aggregated,4.000000,0.000000,170,220,220,300,1200,1200,1200,1200,1200,1200,1200,35,0,170,290.2197829143136,91.13447500021721,1220.3664970002137,163955.2857142857
1777046166,24,,Aggregated,4.750000,0.000000,150,190,220,220,400,1200,1200,1200,1200,1200,1200,47,0,150,253.11874095743715,91.13447500021721,1220.3664970002137,175026.93617021278
1777046167,28,,Aggregated,6.800000,0.000000,140,180,200,220,300,1200,1200,1200,1200,1200,1200,65,0,140,224.55161429234767,91.13447500021721,1220.3664970002137,180713.38461538462
1777046168,32,,Aggregated,6.800000,0.000000,140,170,190,210,290,1200,1200,1200,1200,1200,1200,76,0,140,211.1441409473819,91.13447500021721,1220.3664970002137,175739.8552631579
1777046169,36,,Aggregated,8.714286,0.000000,140,160,180,200,260,400,1200,1200,1200,1200,1200,100,0,140,194.0953514499961,91.13447500021721,1220.3664970002137,170610.04
1777046170,40,,Aggregated,9.500000,0.000000,130,150,180,190,220,360,1200,1200,1200,1200,1200,121,0,130,185.41174415705345,84.14195000113978,1220.3664970002137,156859.34710743802
1777046171,44,,Aggregated,10.888889,0.000000,130,150,160,180,220,310,1200,1200,1200,1200,1200,146,0,130,173.26852944523574,80.95800099908956,1220.3664970002137,155588.35616438356
1777046172,48,,Aggregated,11.400000,0.000000,130,140,160,180,220,300,1200,1200,1200,1200,1200,166,0,130,167.36647975305613,80.95800099908956,1220.3664970002137,160971.8012048193
1777046173,52,,Aggregated,14.200000,0.000000,120,140,160,170,220,290,1200,1200,1200,1200,1200,198,0,120,161.0226595858885,80.95800099908956,1220.3664970002137,165609.28787878787
1777046174,56,,Aggregated,15.600000,0.000000,120,140,150,160,210,260,410,1200,1200,1200,1200,219,0,120,156.55634114157954,72.31347699962498,1220.3664970002137,158487.27397260274
1777046175,60,,Aggregated,18.000000,0.000000,120,140,150,160,190,240,400,1200,1200,1200,1200,254,0,120,151.9946611142085,72.31347699962498,1220.3664970002137,165910.20078740158
1777046176,64,,Aggregated,19.800000,0.000000,120,140,150,160,190,240,400,1200,1200,1200,1200,289,0,120,148.89967347408827,72.31347699962498,1220.3664970002137,162741.01384083045
1777046177,68,,Aggregated,21.900000,0.000000,120,130,140,150,190,230,370,1200,1200,1200,1200,321,0,120,144.96376010907267,72.31347699962498,1220.3664970002137,164106.5046728972
1777046178,72,,Aggregated,23.800000,0.000000,120,130,140,150,190,230,370,1200,1200,1200,1200,350,0,120,142.410518965766,72.31347699962498,1220.3664970002137,160324.54857142858
1777046179,76,,Aggregated,24.800000,0.000000,120,130,140,150,190,240,360,1200,1200,1200,1200,397,0,120,141.83802542069435,72.31347699962498,1220.3664970002137,165265.0604534005
1777046180,80,,Aggregated,26.900000,0.000000,120,130,140,140,190,230,340,410,1200,1200,1200,439,0,120,138.49220742143402,72.31347699962498,1220.3664970002137,165911.70159453302
1777046181,84,,Aggregated,29.000000,0.000000,120,130,140,140,190,230,340,410,1200,1200,1200,479,0,120,137.61501350732004,72.31347699962498,1220.3664970002137,165243.248434238
1777046182,88,,Aggregated,31.300000,0.000000,120,130,140,140,180,230,310,400,1200,1200,1200,527,0,120,134.09159807212058,72.31347699962498,1220.3664970002137,161038.23908918406
1777046183,92,,Aggregated,32.300000,0.000000,110,120,130,140,180,220,300,400,1200,1200,1200,573,0,110,132.21286767017168,72.31347699962498,1220.3664970002137,164631.19895287958
1777046184,96,,Aggregated,34.300000,0.000000,120,130,130,140,180,230,300,370,1200,1200,1200,611,0,120,132.90275373978187,72.31347699962498,1220.3664970002137,163934.94926350247
1777046185,100,,Aggregated,36.300000,0.000000,110,130,130,140,180,220,300,370,1200,1200,1200,666,0,110,131.96656648650387,72.31347699962498,1220.3664970002137,170115.95495495494
1777046186,104,,Aggregated,38.100000,0.000000,110,120,130,140,170,220,300,360,1200,1200,1200,714,0,110,130.12681508404688,72.31347699962498,1220.3664970002137,170838.14705882352
1777046187,108,,Aggregated,39.600000,0.000000,110,130,130,140,180,230,300,360,1200,1200,1200,762,0,110,131.25549940946675,72.31347699962498,1220.3664970002137,169801.35433070865
1777046188,112,,Aggregated,41.800000,0.000000,120,130,140,150,190,230,300,340,1200,1200,1200,825,0,120,133.55892009456124,72.31347699962498,1220.3664970002137,170998.32363636364
1777046189,116,,Aggregated,43.900000,0.000000,120,130,140,150,190,230,300,340,1200,1200,1200,880,0,120,133.035125835239,72.31347699962498,1220.3664970002137,170901.75113636363
1777046190,120,,Aggregated,45.900000,0.000000,120,130,140,150,190,230,300,340,1200,1200,1200,945,0,120,133.9631040201143,72.31347699962498,1220.3664970002137,172473.42222222223
1777046191,124,,Aggregated,47.100000,0.000000,120,130,140,150,190,220,290,340,1200,1200,1200,995,0,120,132.60264730453494,72.31347699962498,1220.3664970002137,172592.68542713567
1777046192,128,,Aggregated,49.900000,0.000000,120,130,140,140,180,220,290,320,1200,1200,1200,1065,0,120,130.77272125916394,72.31347699962498,1220.3664970002137,172024.48450704225
1777046193,132,,Aggregated,50.300000,0.000000,120,130,140,150,180,220,290,330,1200,1200,1200,1123,0,120,131.12132827516066,72.31347699962498,1220.3664970002137,173407.50756901156
1777046194,136,,Aggregated,53.400000,0.000000,120,130,140,150,190,230,290,330,1200,1200,1200,1187,0,120,132.38351608509723,72.31347699962498,1220.3664970002137,174997.55602358887
1777046195,140,,Aggregated,54.600000,0.000000,120,130,140,150,190,220,290,320,1200,1200,1200,1260,0,120,130.68421298572676,72.31347699962498,1220.3664970002137,173704.62380952382
1777046196,144,,Aggregated,56.400000,0.000000,120,130,140,150,190,230,290,330,1200,1200,1200,1327,0,120,130.9498742253352,72.31347699962498,1220.3664970002137,174151.56292388847
1777046197,148,,Aggregated,59.000000,0.000000,120,130,140,150,190,230,290,320,1200,1200,1200,1402,0,120,130.4232186840401,72.31347699962498,1220.3664970002137,173735.9258202568
1777046198,152,,Aggregated,60.300000,0.000000,120,130,140,140,180,220,290,320,1200,1200,1200,1479,0,120,129.62295433201092,72.31347699962498,1220.3664970002137,176892.65922920892
1777046199,156,,Aggregated,62.400000,0.000000,120,130,140,150,190,230,300,340,1200,1200,1200,1548,0,120,130.79539501230573,72.31347699962498,1220.3664970002137,175581.71899224806
1777046200,160,,Aggregated,64.500000,0.000000,120,130,140,140,190,230,290,330,1200,1200,1200,1628,0,120,130.0524812739841,72.31347699962498,1220.3664970002137,176014.46437346438
1777046201,160,,Aggregated,66.700000,0.000000,120,130,140,140,180,220,290,330,1200,1200,1200,1696,0,120,129.38541551889398,72.31347699962498,1220.3664970002137,177436.375
1777046202,160,,Aggregated,66.600000,0.000000,120,130,140,140,190,230,300,360,1200,1200,1200,1771,0,120,130.30815194977274,72.31347699962498,1220.3664970002137,177684.96612083568
1777046203,160,,Aggregated,70.500000,0.000000,120,130,140,140,190,230,300,340,1200,1200,1200,1850,0,120,130.56663011948376,72.31347699962498,1220.3664970002137,177137.7156756757
1777046204,160,,Aggregated,70.100000,0.000000,120,130,140,150,190,230,300,340,1200,1200,1200,1923,0,120,130.93503389290055,72.31347699962498,1220.3664970002137,177531.41965678628
1777046205,160,,Aggregated,72.300000,0.000000,120,130,140,150,200,240,300,360,1200,1200,1200,1985,0,120,132.01855689825953,72.31347699962498,1220.3664970002137,177003.88816120906
1777046206,160,,Aggregated,72.200000,0.000000,120,130,140,150,200,240,300,340,1200,1200,1200,2078,0,120,132.67896643121497,72.31347699962498,1220.3664970002137,176577.13089509142
1777046207,160,,Aggregated,71.900000,0.000000,120,130,140,150,200,240,300,340,1200,1200,1200,2149,0,120,131.85709773013724,72.31347699962498,1220.3664970002137,176492.43787808283
1777046208,160,,Aggregated,73.700000,0.000000,120,130,140,150,200,250,310,360,1200,1200,1200,2198,0,120,132.68960864334352,72.31347699962498,1220.3664970002137,176328.55232029117
1777046209,160,,Aggregated,74.200000,0.000000,120,130,140,150,220,270,340,370,1200,1200,1200,2289,0,120,136.9516605107319,72.31347699962498,1220.3664970002137,176836.29488859765
1777046210,160,,Aggregated,73.000000,0.000000,120,130,140,150,220,270,330,360,1200,1200,1200,2368,0,120,136.27595832562005,72.31347699962498,1220.3664970002137,177689.36824324325
1777046211,160,,Aggregated,72.200000,0.000000,120,130,140,150,220,270,330,360,1200,1200,1200,2442,0,120,136.80975906431846,72.31347699962498,1220.3664970002137,177749.085995086
1777046212,160,,Aggregated,73.100000,0.000000,120,130,140,150,210,270,330,360,1200,1200,1200,2512,0,120,136.01039254500947,72.31347699962498,1220.3664970002137,177196.19944267516
1777046213,160,,Aggregated,73.200000,0.000000,120,130,140,150,210,270,330,360,1200,1200,1200,2598,0,120,135.1998002979469,72.31347699962498,1220.3664970002137,177731.61778290992
1777046214,160,,Aggregated,73.600000,0.000000,120,130,140,150,220,270,330,360,1200,1200,1200,2662,0,120,137.16306805787792,72.31347699962498,1220.3664970002137,177700.5792637115
1777046215,160,,Aggregated,72.700000,0.000000,120,130,140,150,220,270,330,360,1200,1200,1200,2742,0,120,136.18077950148347,72.31347699962498,1220.3664970002137,177277.83260393873
1777046216,160,,Aggregated,73.700000,0.000000,120,130,140,150,220,270,330,360,1200,1200,1200,2816,0,120,135.4780976211199,72.31347699962498,1220.3664970002137,176889.07848011365
1777046217,160,,Aggregated,74.100000,0.000000,120,130,140,150,220,270,330,360,1200,1200,1200,2886,0,120,136.11200328069228,72.31347699962498,1220.3664970002137,177162.5343035343
1777046218,160,,Aggregated,73.200000,0.000000,120,130,140,150,220,270,330,360,1200,1200,1200,2972,0,120,135.32533945157493,72.31347699962498,1220.3664970002137,176348.8623822342
1777046219,160,,Aggregated,73.000000,0.000000,120,130,140,150,220,270,330,360,1200,1200,1200,3026,0,120,135.09739149705402,72.09778099968389,1220.3664970002137,176971.48083278254
1777046220,160,,Aggregated,74.000000,0.000000,120,130,140,150,220,280,330,360,1200,1200,1200,3116,0,120,136.70988518487727,72.09778099968389,1220.3664970002137,176692.57381258023
1777046221,160,,Aggregated,74.600000,0.000000,120,130,140,150,220,270,330,360,1200,1200,1200,3197,0,120,135.98667893152003,72.09778099968389,1220.3664970002137,176441.8889583985
1777046222,160,,Aggregated,74.700000,0.000000,120,130,140,150,210,270,330,360,1200,1200,1200,3273,0,120,135.50815891783492,70.83657800103538,1220.3664970002137,176296.22181484877
1777046223,160,,Aggregated,73.700000,0.000000,120,130,140,150,210,270,330,360,1200,1200,1200,3347,0,120,135.87789219034448,70.83657800103538,1220.3664970002137,176750.18763071406
1777046224,160,,Aggregated,74.600000,0.000000,120,130,140,160,210,270,330,360,1200,1200,1200,3427,0,120,136.5030648331141,70.83657800103538,1220.3664970002137,176186.53282754595
1777046225,160,,Aggregated,75.300000,0.000000,120,130,140,150,210,270,330,360,1200,1200,1200,3493,0,120,136.07684197225385,70.83657800103538,1220.3664970002137,176592.9012310335
1777046226,160,,Aggregated,74.800000,0.000000,120,130,140,160,220,280,340,370,1200,1200,1200,3556,0,120,137.55773915300557,70.83657800103538,1220.3664970002137,176750.2418447694
1777046227,160,,Aggregated,75.900000,0.000000,120,130,140,160,220,280,340,370,1200,1200,1200,3644,0,120,137.60518755929826,69.59088099938526,1220.3664970002137,176132.45389681667
1777046228,160,,Aggregated,74.600000,0.000000,120,130,140,160,220,280,340,370,1200,1200,1200,3719,0,120,137.03086545928505,69.59088099938526,1220.3664970002137,176163.48615219144
1777046229,160,,Aggregated,74.900000,0.000000,120,130,140,160,220,280,340,370,1200,1200,1200,3800,0,120,137.5848274092329,69.59088099938526,1220.3664970002137,176075.31763157895
1777046230,160,,Aggregated,74.700000,0.000000,120,130,140,160,220,280,340,370,1200,1200,1200,3863,0,120,137.1260733945351,69.59088099938526,1220.3664970002137,176447.5764949521
1777046231,160,,Aggregated,75.000000,0.000000,120,130,140,150,210,280,340,370,1200,1200,1200,3950,0,120,136.647159482555,69.59088099938526,1220.3664970002137,176564.53265822784
1777046232,160,,Aggregated,75.200000,0.000000,120,130,140,150,210,280,340,370,430,1200,1200,4017,0,120,136.64357326763604,66.67800700051885,1220.3664970002137,177191.82524271845
1777046233,160,,Aggregated,74.300000,0.000000,120,130,140,150,210,270,340,370,430,1200,1200,4090,0,120,136.07963629733393,66.67800700051885,1220.3664970002137,176961.4924205379
1777046234,160,,Aggregated,74.900000,0.000000,120,130,150,160,220,270,340,370,430,1200,1200,4174,0,120,137.24265901104428,66.67800700051885,1220.3664970002137,177166.85170100624
1777046235,160,,Aggregated,73.700000,0.000000,120,130,150,160,220,270,340,370,430,1200,1200,4242,0,120,137.19484297315012,66.67800700051885,1220.3664970002137,176818.11669024045
1777046236,160,,Aggregated,73.900000,0.000000,120,130,140,160,210,270,340,370,430,1200,1200,4315,0,120,136.85196087186648,66.67800700051885,1220.3664970002137,176802.51819235226
1777046237,160,,Aggregated,74.000000,0.000000,120,130,140,160,210,270,330,370,430,1200,1200,4405,0,120,136.516409157797,66.67800700051885,1220.3664970002137,176512.52712826335
1777046238,160,,Aggregated,73.400000,0.000000,120,130,140,160,210,270,330,370,430,1200,1200,4470,0,120,136.3993252718329,66.67800700051885,1220.3664970002137,176857.87046979865
1777046239,160,,Aggregated,75.300000,0.000000,120,130,140,160,210,270,330,360,430,1200,1200,4557,0,120,136.3473923989684,66.67800700051885,1220.3664970002137,175649.98090849243
1777046240,160,,Aggregated,75.200000,0.000000,120,130,140,160,210,270,330,360,430,1200,1200,4621,0,120,136.1079265332395,66.67800700051885,1220.3664970002137,176302.57974464403
1777046241,160,,Aggregated,74.500000,0.000000,120,130,150,160,220,280,340,360,430,1200,1200,4700,0,120,137.2926410283208,66.67800700051885,1220.3664970002137,175930.31468085106
1777046242,160,,Aggregated,75.700000,0.000000,120,130,140,160,210,280,330,360,430,1200,1200,4769,0,120,136.80957423570987,66.67800700051885,1220.3664970002137,176051.52799329
1777046243,160,,Aggregated,75.400000,0.000000,120,130,140,160,210,270,330,360,430,1200,1200,4840,0,120,136.46508983658944,66.67800700051885,1220.3664970002137,176021.6605371901
1777046244,160,,Aggregated,74.100000,0.000000,120,130,150,160,220,280,340,370,430,1200,1200,4913,0,120,138.20805680746787,66.67800700051885,1220.3664970002137,176537.12538164054
1777046245,160,,Aggregated,74.700000,0.000000,120,130,150,160,220,280,340,370,430,1200,1200,4990,0,120,138.60052823749183,66.67800700051885,1220.3664970002137,175816.50861723447
1777046246,160,,Aggregated,74.800000,0.000000,120,130,150,160,220,280,340,370,430,1200,1200,5075,0,120,138.17630861440117,66.67800700051885,1220.3664970002137,175224.25990147784
1777046247,160,,Aggregated,73.600000,0.000000,120,130,150,160,220,280,340,370,430,1200,1200,5146,0,120,138.5402789438568,66.67800700051885,1220.3664970002137,174713.57520404196
1777046248,160,,Aggregated,74.800000,0.000000,120,130,150,160,220,280,340,370,430,1200,1200,5212,0,120,138.0463789499408,66.67800700051885,1220.3664970002137,174598.0805832694
1777046249,160,,Aggregated,74.100000,0.000000,120,130,150,160,220,280,340,370,430,1200,1200,5295,0,120,138.04607612768262,66.67800700051885,1220.3664970002137,173944.37507082152
1777046250,160,,Aggregated,73.800000,0.000000,120,130,150,160,220,280,340,370,430,1200,1200,5361,0,120,138.39930317125157,66.67800700051885,1220.3664970002137,173762.67599328482
