Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777482921,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777482922,4,,Aggregated,0.000000,0.000000,410,410,440,440,440,440,440,440,440,440,440,4,0,410,414.140380500001,405.82299400000466,436.38125100000025,30512.0
1777482923,8,,Aggregated,0.000000,0.000000,64,410,410,410,440,440,440,440,440,440,440,9,0,64,214.4408242222274,37.65233500001841,436.38125100000025,30512.0
1777482924,12,,Aggregated,4.000000,0.000000,52,59,64,410,410,440,440,440,440,440,440,17,0,52,135.32045364706178,37.476582000010694,436.38125100000025,30512.0
1777482925,16,,Aggregated,4.500000,0.000000,51,57,61,63,410,410,440,440,440,440,440,27,0,51,101.8126297777805,32.948126999997385,436.38125100000025,30512.0
1777482926,20,,Aggregated,5.333333,0.000000,48,56,59,60,410,410,440,440,440,440,440,38,0,48,85.8228226578955,32.948126999997385,436.38125100000025,30512.0
1777482927,24,,Aggregated,6.500000,0.000000,50,56,57,59,68,410,440,440,440,440,440,49,0,50,77.49385148979609,30.79300699999976,436.38125100000025,30512.0
1777482928,28,,Aggregated,7.000000,0.000000,48,56,59,62,68,410,410,440,440,440,440,64,0,48,70.95497971875007,26.941593999993074,436.38125100000025,30512.0
1777482929,32,,Aggregated,7.833333,0.000000,45,53,59,62,69,83,410,440,440,440,440,83,0,45,65.25115724096301,25.579213999975536,436.38125100000025,30512.0
1777482930,36,,Aggregated,9.000000,0.000000,44,51,57,59,68,79,410,410,440,440,440,102,0,44,60.283311176469965,25.579213999975536,436.38125100000025,30512.0
1777482931,40,,Aggregated,10.000000,0.000000,44,51,57,60,76,81,410,410,440,440,440,127,0,44,57.96147640944851,25.579213999975536,436.38125100000025,30512.0
1777482932,44,,Aggregated,11.222222,0.000000,43,50,57,60,72,81,410,410,440,440,440,148,0,43,56.07499034459461,25.579213999975536,436.38125100000025,30512.0
1777482933,48,,Aggregated,12.200000,0.000000,42,48,53,58,69,80,410,410,440,440,440,178,0,42,52.23919165168548,25.579213999975536,436.38125100000025,30512.0
1777482934,52,,Aggregated,14.000000,0.000000,41,47,51,57,68,79,83,410,440,440,440,202,0,41,50.88696850495035,24.340330999990556,436.38125100000025,30512.0
1777482935,56,,Aggregated,16.600000,0.000000,42,47,52,57,69,79,83,410,440,440,440,230,0,42,50.53634635652135,24.340330999990556,436.38125100000025,30512.0
1777482936,60,,Aggregated,18.100000,0.000000,41,46,51,56,66,78,82,410,440,440,440,269,0,41,48.62329227509275,24.340330999990556,436.38125100000025,30512.0
1777482937,64,,Aggregated,19.600000,0.000000,41,47,51,56,63,76,81,410,440,440,440,305,0,41,47.8482576754098,24.340330999990556,436.38125100000025,30512.0
1777482938,68,,Aggregated,22.900000,0.000000,39,46,50,54,62,76,81,410,440,440,440,340,0,39,46.52372003529413,24.340330999990556,436.38125100000025,30512.0
1777482939,72,,Aggregated,24.900000,0.000000,38,45,49,53,61,72,81,410,440,440,440,372,0,38,45.24478904301088,24.340330999990556,436.38125100000025,30512.0
1777482940,76,,Aggregated,26.200000,0.000000,37,44,49,53,61,70,80,83,440,440,440,413,0,37,44.63387226392264,24.340330999990556,436.38125100000025,30512.0
1777482941,80,,Aggregated,28.400000,0.000000,37,44,48,53,62,69,80,83,440,440,440,455,0,37,44.01517932527469,24.340330999990556,436.38125100000025,30512.0
1777482942,84,,Aggregated,30.700000,0.000000,37,44,48,51,61,69,80,83,440,440,440,499,0,37,43.61606895992003,24.340330999990556,436.38125100000025,30512.0
1777482943,88,,Aggregated,32.500000,0.000000,36,42,47,50,60,67,79,82,440,440,440,542,0,36,42.75586887084892,24.340330999990556,436.38125100000025,30512.0
1777482944,92,,Aggregated,34.100000,0.000000,36,42,46,50,58,66,79,82,440,440,440,593,0,36,42.17181705059,24.340330999990556,436.38125100000025,30512.0
1777482945,96,,Aggregated,35.800000,0.000000,36,42,46,50,59,66,79,81,440,440,440,641,0,36,42.08311239001548,24.340330999990556,436.38125100000025,30512.0
1777482946,100,,Aggregated,38.200000,0.000000,36,42,46,50,60,67,78,81,440,440,440,691,0,36,41.71644370622287,23.775838999995358,436.38125100000025,30512.0
1777482947,104,,Aggregated,40.700000,0.000000,35,42,46,49,59,66,77,81,440,440,440,743,0,35,41.21659307402397,23.29824199998143,436.38125100000025,30512.0
1777482948,108,,Aggregated,41.000000,0.000000,35,41,45,48,58,66,77,81,440,440,440,798,0,35,40.52899315914789,23.29824199998143,436.38125100000025,30512.0
1777482949,112,,Aggregated,43.100000,0.000000,34,41,45,48,57,64,76,80,440,440,440,857,0,34,40.19986960793459,23.0892819999724,436.38125100000025,30512.0
1777482950,116,,Aggregated,45.900000,0.000000,35,41,45,47,57,64,76,80,440,440,440,913,0,35,40.136232176341665,23.0892819999724,436.38125100000025,30512.0
1777482951,120,,Aggregated,47.400000,0.000000,34,41,44,47,57,63,76,80,440,440,440,983,0,34,39.81511559918605,22.47248800000534,436.38125100000025,30512.0
1777482952,124,,Aggregated,48.200000,0.000000,35,41,45,48,57,64,76,79,410,440,440,1049,0,35,39.96103844232577,22.47248800000534,436.38125100000025,30512.0
1777482953,128,,Aggregated,51.500000,0.000000,35,41,45,48,58,64,75,79,410,440,440,1110,0,35,40.06810879999958,22.47248800000534,436.38125100000025,30512.0
1777482954,132,,Aggregated,54.300000,0.000000,35,41,45,48,57,63,72,79,410,440,440,1192,0,35,39.71365459479845,22.47248800000534,436.38125100000025,30512.0
1777482955,136,,Aggregated,55.000000,0.000000,35,40,44,47,57,63,71,79,410,440,440,1257,0,35,39.47527450198873,22.47248800000534,436.38125100000025,30512.0
1777482956,140,,Aggregated,59.000000,0.000000,34,40,44,47,56,63,71,79,410,440,440,1325,0,34,39.23883017207537,22.47248800000534,436.38125100000025,30512.0
1777482957,144,,Aggregated,60.400000,0.000000,34,40,44,47,56,63,71,78,410,440,440,1404,0,34,39.07229077564096,22.47248800000534,436.38125100000025,30512.0
1777482958,148,,Aggregated,62.600000,0.000000,34,40,44,47,56,62,70,78,410,440,440,1481,0,34,38.86241525185673,22.47248800000534,436.38125100000025,30512.0
1777482959,152,,Aggregated,64.600000,0.000000,34,39,43,46,56,62,70,77,410,440,440,1556,0,34,38.68927578920291,22.47248800000534,436.38125100000025,30512.0
1777482960,156,,Aggregated,66.900000,0.000000,34,39,44,47,56,62,70,77,410,440,440,1640,0,34,38.652995382316824,22.47248800000534,436.38125100000025,30512.0
1777482961,160,,Aggregated,68.600000,0.000000,34,39,44,47,56,62,71,78,410,440,440,1717,0,34,38.66740312754786,22.336552000012944,436.38125100000025,30512.0
1777482962,160,,Aggregated,72.500000,0.000000,34,40,45,48,57,63,72,79,410,440,440,1796,0,34,39.11387636024478,22.336552000012944,436.38125100000025,30512.0
1777482963,160,,Aggregated,72.300000,0.000000,34,40,44,48,57,63,72,79,410,440,440,1875,0,34,38.83451917973316,22.336552000012944,436.38125100000025,30512.0
1777482964,160,,Aggregated,73.500000,0.000000,34,39,44,47,56,63,71,78,410,440,440,1955,0,34,38.61867196470576,22.336552000012944,436.38125100000025,30512.0
1777482965,160,,Aggregated,75.800000,0.000000,34,39,43,47,56,62,71,78,410,440,440,2033,0,34,38.50976058042291,22.336552000012944,436.38125100000025,30512.0
1777482966,160,,Aggregated,75.400000,0.000000,34,39,43,46,56,62,70,77,410,440,440,2116,0,34,38.411214101606774,22.336552000012944,436.38125100000025,30512.0
1777482967,160,,Aggregated,76.700000,0.000000,34,39,42,46,55,62,70,77,410,440,440,2192,0,34,38.13832814461676,22.336552000012944,436.38125100000025,30512.0
1777482968,160,,Aggregated,77.900000,0.000000,34,39,42,46,55,62,70,77,410,440,440,2269,0,34,38.041645280299555,22.336552000012944,436.38125100000025,30512.0
1777482969,160,,Aggregated,79.200000,0.000000,34,38,42,45,55,62,69,77,410,440,440,2353,0,34,37.88767639906487,22.336552000012944,436.38125100000025,30512.0
1777482970,160,,Aggregated,78.600000,0.000000,34,38,42,45,54,61,69,76,410,440,440,2428,0,34,37.74778273805586,22.336552000012944,436.38125100000025,30512.0
1777482971,160,,Aggregated,79.800000,0.000000,34,38,42,45,54,61,69,76,410,440,440,2515,0,34,37.791494251689635,22.336552000012944,436.38125100000025,30512.0
1777482972,160,,Aggregated,78.100000,0.000000,34,38,42,45,54,61,69,76,410,440,440,2585,0,34,37.816434156672884,22.336552000012944,436.38125100000025,30512.0
1777482973,160,,Aggregated,79.000000,0.000000,34,38,42,45,54,61,68,76,410,440,440,2673,0,34,37.80391599401409,22.336552000012944,436.38125100000025,30512.0
1777482974,160,,Aggregated,78.600000,0.000000,34,39,42,45,54,60,68,76,410,440,440,2759,0,34,37.850184688292785,22.336552000012944,436.38125100000025,30512.0
1777482975,160,,Aggregated,79.100000,0.000000,34,38,42,45,54,60,68,76,410,440,440,2826,0,34,37.7689682774238,22.336552000012944,436.38125100000025,30512.0
