Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777489111,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777489112,10,,Aggregated,0.000000,0.000000,90,98,110,110,120,120,120,120,120,120,120,10,0,78,88.95858920022874,66.76834000063536,115.08268699981272,198967.2
1777489113,20,,Aggregated,0.000000,0.000000,78,96,98,98,110,110,120,120,120,120,120,22,0,77,82.19798450008139,35.95991400015919,115.08268699981272,221932.9090909091
1777489114,30,,Aggregated,10.000000,0.000000,76,81,92,97,100,110,120,120,120,120,120,46,0,74,72.6702139130319,28.449491999708698,115.08268699981272,186149.1739130435
1777489115,40,,Aggregated,10.000000,0.000000,70,78,90,97,100,110,110,120,120,120,120,70,0,69,69.65316652857447,26.03435699984402,115.08268699981272,210997.3142857143
1777489116,50,,Aggregated,11.000000,0.000000,69,77,86,92,100,110,110,110,120,120,120,101,0,69,67.16574376231719,24.705963999622327,115.08268699981272,205636.55445544556
1777489117,60,,Aggregated,15.000000,0.000000,69,81,94,98,110,130,150,160,170,170,170,134,0,69,70.76765928355029,24.705963999622327,167.29463800038502,197082.67164179104
1777489118,70,,Aggregated,16.200000,0.000000,64,74,90,94,100,120,150,160,170,170,170,174,0,64,65.86540527008054,24.38460200028203,167.29463800038502,185416.091954023
1777489119,80,,Aggregated,18.333333,0.000000,63,73,89,94,110,130,140,150,170,170,170,218,0,63,65.62169473392814,24.38460200028203,167.29463800038502,188924.01834862385
1777489120,90,,Aggregated,21.428571,0.000000,60,71,85,93,100,120,140,150,170,170,170,265,0,60,63.50196348301427,24.38460200028203,167.29463800038502,189433.9924528302
1777489121,100,,Aggregated,23.625000,0.000000,56,67,76,87,100,110,140,150,170,170,170,330,0,56,59.889947193931384,24.38460200028203,167.29463800038502,179827.94545454546
1777489122,110,,Aggregated,25.555556,0.000000,56,67,76,86,100,120,130,150,170,170,170,381,0,56,60.246816039365314,24.38460200028203,167.29463800038502,185263.51706036745
1777489123,120,,Aggregated,28.000000,0.000000,55,64,74,86,100,120,140,150,170,170,170,449,0,55,59.65361149888416,24.38460200028203,167.29463800038502,182462.17371937638
